"protein","entry_name","description","gene_names","family","expression_tissue"
"P07357","CO8A_HUMAN","Complement component C8 alpha chain","C8A","TM","Adrenal\BAT\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P07359","GP1BA_HUMAN","Platelet glycoprotein Ib alpha chain","GP1BA","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Tongue\Urinary"
"P07550","ADRB2_HUMAN","Beta-2 adrenergic receptor","ADRB2 ADRB2R B2AR","TM(GPCR)","BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P07766","CD3E_HUMAN","T-cell surface glycoprotein CD3 epsilon chain","CD3E T3E","TM","Adrenal\BAT\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"P07949","RET_HUMAN","Proto-oncogene tyrosine-protein kinase receptor Ret","RET CDHF12 CDHR16 PTC","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Tongue\Urinary"
"P08034","CXB1_HUMAN","Gap junction beta-1 protein","GJB1 CX32","TM","BAT\Brain\Kidney\Liver\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Tongue\Urinary"
"P08100","OPSD_HUMAN","Rhodopsin","RHO OPN2","TM(GPCR)","Adrenal\Eye\Urinary"
"P08138","TNR16_HUMAN","Tumor necrosis factor receptor superfamily member 16","NGFR TNFRSF16","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08172","ACM2_HUMAN","Muscarinic acetylcholine receptor M2","CHRM2","TM(GPCR)","Brain\Eye\Heart\Lung\MAT\Prostate\Small\Spleen\Stomach\Urinary"
"P08195","4F2_HUMAN","Amino acid transporter heavy chain SLC3A2","SLC3A2 MDU1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08247","SYPH_HUMAN","Synaptophysin","SYP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08473","NEP_HUMAN","Neprilysin","MME EPN","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08514","ITA2B_HUMAN","Integrin alpha-IIb","ITGA2B GP2B ITGAB","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08574","CY1_HUMAN","Cytochrome c1, heme protein, mitochondrial","CYC1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08575","PTPRC_HUMAN","Receptor-type tyrosine-protein phosphatase C","PTPRC CD45","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08588","ADRB1_HUMAN","Beta-1 adrenergic receptor","ADRB1 ADRB1R B1AR","TM(GPCR)","BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Pancreas\Spleen\Thymus"
"P08648","ITA5_HUMAN","Integrin alpha-5","ITGA5 FNRA","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08887","IL6RA_HUMAN","Interleukin-6 receptor subunit alpha","IL6R","TM","Adrenal\BAT\Brain\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08910","ABHD2_HUMAN","Monoacylglycerol lipase ABHD2","ABHD2 LABH2","TM","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P08913","ADA2A_HUMAN","Alpha-2A adrenergic receptor","ADRA2A ADRA2R ADRAR","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P08962","CD63_HUMAN","CD63 antigen","CD63 MLA1 TSPAN30","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P08F94","PKHD1_HUMAN","Fibrocystin","PKHD1 FCYT TIGM1","TM","Brain\GAT\Kidney\Lung\MAT\Pancreas\Prostate\Testis\Urinary"
"P09131","P3_HUMAN","P3 protein","SLC10A3 DXS253E P3","TM(Trans)","Adrenal\BAT\Lung\Pancreas\Prostate\Skin\Stomach\Testis\Thymus\Urinary"
"P09172","DOPO_HUMAN","Dopamine beta-hydroxylase","DBH","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P09601","HMOX1_HUMAN","Heme oxygenase 1","HMOX1 HO HO1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P09603","CSF1_HUMAN","Macrophage colony-stimulating factor 1","CSF1","TM","Adrenal\GAT\Heart\Kidney\Lung\MAT\SCAT\Skin\Spleen\Stomach\Thymus\Urinary"
"P09619","PGFRB_HUMAN","Platelet-derived growth factor receptor beta","PDGFRB PDGFR PDGFR1","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P09669","COX6C_HUMAN","Cytochrome c oxidase subunit 6C","COX6C","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P09693","CD3G_HUMAN","T-cell surface glycoprotein CD3 gamma chain","CD3G T3G","TM","Adrenal\BAT\GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"P09758","TACD2_HUMAN","Tumor-associated calcium signal transducer 2","TACSTD2 GA733-1 M1S1 TROP2","TM","Adrenal\Eye\Kidney\Lung\Pancreas\Prostate\Skin\Small\Stomach\Thymus\Tongue\Urinary"
"P09958","FURIN_HUMAN","Furin","FURIN FUR PACE PCSK3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P0C6S8","LIGO3_HUMAN","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3","LINGO3 LERN2 LRRN6B","TM","Adrenal\Brain\Eye\Heart\Muscle\Small"
"P0C7M8","CLC2L_HUMAN","C-type lectin domain family 2 member L","CLEC2L","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue"
"P0C7U0","ELFN1_HUMAN","Protein ELFN1","ELFN1 PPP1R28","TM","BAT\Brain\Eye\Heart\Kidney\Lung\Muscle\SCAT\Skin\Spleen\Stomach"
"P0C851","PIRT_HUMAN","Phosphoinositide-interacting protein","PIRT","TM","Adrenal\BAT\Brain\Heart\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Urinary"
"P0CK96","S352B_HUMAN","Solute carrier family 35 member E2B","SLC35E2B KIAA0447","TM","Adrenal\BAT\Brain\Eye\GAT\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P0DJ07","PT100_HUMAN","Protein PET100 homolog, mitochondrial","PET100 C19orf79","TM","Adrenal\BAT\Eye\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P0DKB5","TPBGL_HUMAN","Trophoblast glycoprotein-like","TPBGL","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P0DPA2","VSIG8_HUMAN","V-set and immunoglobulin domain-containing protein 8","VSIG8 C1orf204","TM","Skin\Stomach\Thymus\Tongue"
"P0DPD6","ECE2_HUMAN","Endothelin-converting enzyme 2","ECE2 KIAA0604 UNQ403/PRO740","TM","Adrenal\BAT\Brain\Eye\Heart\MAT\Pancreas\Prostate\SCAT\Skin\Stomach\Tongue\Urinary"
"P0DTE4","UD2A1_HUMAN","UDP-glucuronosyltransferase 2A1","UGT2A1","TM","BAT\Brain\Eye\GAT\Heart\Liver\MAT\Prostate\SCAT\Skin\Thymus\Tongue\Urinary"
"P0DTE5","UD2A2_HUMAN","UDP-glucuronosyltransferase 2A2","UGT2A2","TM","Brain\Eye\GAT\Thymus"
"P10176","COX8A_HUMAN","Cytochrome c oxidase subunit 8A, mitochondrial","COX8A COX8 COX8L","TM","BAT\Brain\Eye\Stomach\Thymus"
"P10415","BCL2_HUMAN","Apoptosis regulator Bcl-2","BCL2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P10586","PTPRF_HUMAN","Receptor-type tyrosine-protein phosphatase F","PTPRF LAR","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P10620","MGST1_HUMAN","Microsomal glutathione S-transferase 1","MGST1 GST12 MGST","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P10721","KIT_HUMAN","Mast/stem cell growth factor receptor Kit","KIT SCFR","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P10747","CD28_HUMAN","T-cell-specific surface glycoprotein CD28","CD28","TM","Lung\MAT\SCAT\Small\Spleen\Thymus"
"P10912","GHR_HUMAN","Growth hormone receptor","GHR","TM","Adrenal\BAT\Brain\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11049","CD37_HUMAN","Leukocyte antigen CD37","CD37 TSPAN26","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11117","PPAL_HUMAN","Lysosomal acid phosphatase","ACP2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11166","GTR1_HUMAN","Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1 GLUT1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11168","GTR2_HUMAN","Solute carrier family 2, facilitated glucose transporter member 2","SLC2A2 GLUT2","TM(Trans)","Adrenal\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Small\Spleen"
"P11229","ACM1_HUMAN","Muscarinic acetylcholine receptor M1","CHRM1","TM(GPCR)","Adrenal\Brain\Eye\Pancreas\Prostate\Small\Stomach\Urinary"
"P11230","ACHB_HUMAN","Acetylcholine receptor subunit beta","CHRNB1 ACHRB CHRNB","TM(IC)","Lung\Muscle\Skin\Thymus\Tongue"
"P11279","LAMP1_HUMAN","Lysosome-associated membrane glycoprotein 1","LAMP1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11362","FGFR1_HUMAN","Fibroblast growth factor receptor 1","FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11717","MPRI_HUMAN","Cation-independent mannose-6-phosphate receptor","IGF2R MPRI","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P11836","CD20_HUMAN","B-lymphocyte antigen CD20","MS4A1 CD20","TM","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Thymus\Urinary"
"P11912","CD79A_HUMAN","B-cell antigen receptor complex-associated protein alpha chain","CD79A IGA MB1","TM","GAT\Lung\MAT\Pancreas\SCAT\Small\Spleen\Thymus"
"P12074","CX6A1_HUMAN","Cytochrome c oxidase subunit 6A1, mitochondrial","COX6A1 COX6AL","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P12235","ADT1_HUMAN","ADP/ATP translocase 1","SLC25A4 AAC1 ANT1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P12314","FCGR1_HUMAN","High affinity immunoglobulin gamma Fc receptor I","FCGR1A FCG1 FCGR1 IGFR1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P12821","ACE_HUMAN","Angiotensin-converting enzyme","ACE DCP DCP1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13073","COX41_HUMAN","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial","COX4I1 COX4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13224","GP1BB_HUMAN","Platelet glycoprotein Ib beta chain","GP1BB","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13473","LAMP2_HUMAN","Lysosome-associated membrane glycoprotein 2","LAMP2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13569","CFTR_HUMAN","Cystic fibrosis transmembrane conductance regulator","CFTR ABCC7","TM(IC)","Brain\GAT\Kidney\Lung\Pancreas\Small\Stomach\Testis\Thymus"
"P13598","ICAM2_HUMAN","Intercellular adhesion molecule 2","ICAM2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13637","AT1A3_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-3/K ATPase alpha-3 subunit/K ATPase alpha subunit","ATP1A3","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P13945","ADRB3_HUMAN","Beta-3 adrenergic receptor","ADRB3 ADRB3R B3AR","TM(GPCR)","Adrenal\BAT\GAT\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"P14151","LYAM1_HUMAN","L-selectin","SELL LNHR LYAM1","TM","Lung\MAT\SCAT\Spleen\Thymus"
"P14222","PERF_HUMAN","Perforin-1","PRF1 PFP","TM","Lung\SCAT\Skin\Spleen"
"P14406","CX7A2_HUMAN","Cytochrome c oxidase subunit 7A2, mitochondrial","COX7A2 COX7AL","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P14415","AT1B2_HUMAN","Sodium/potassium-transporting ATPase subunit beta-2","ATP1B2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P14616","INSRR_HUMAN","Insulin receptor-related protein","INSRR IRR","TM(RTK)","Kidney\Pancreas\Stomach\Testis"
"P14672","GLUT4_HUMAN","Solute carrier family 2, facilitated glucose transporter member 4","SLC2A4 GLUT4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P14770","GPIX_HUMAN","Platelet glycoprotein IX","GP9","TM","Adrenal\Lung\SCAT\Skin\Spleen\Tongue"
"P14778","IL1R1_HUMAN","Interleukin-1 receptor type 1","IL1R1 IL1R IL1RA IL1RT1","TM","Adrenal\BAT\GAT\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P14784","IL2RB_HUMAN","Interleukin-2 receptor subunit beta","IL2RB IL15RB","TM","Lung\MAT\SCAT\Small\Spleen\Thymus"
"P14867","GBRA1_HUMAN","Gamma-aminobutyric acid receptor subunit alpha-1 receptor subunit alpha-1","GABRA1","TM(IC)","Brain\Eye\Spleen\Stomach\Thymus"
"P15144","AMPN_HUMAN","Aminopeptidase N","ANPEP APN CD13 PEPN","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P15260","INGR1_HUMAN","Interferon gamma receptor 1","IFNGR1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P15291","B4GT1_HUMAN","Beta-1,4-galactosyltransferase 1","B4GALT1 GGTB2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P15391","CD19_HUMAN","B-lymphocyte antigen CD19","CD19","TM","Lung\MAT\Muscle\Pancreas\SCAT\Small\Spleen\Thymus"
"P15907","SIAT1_HUMAN","Beta-galactoside alpha-2,6-sialyltransferase 1","ST6GAL1 SIAT1","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P15954","COX7C_HUMAN","Cytochrome c oxidase subunit 7C, mitochondrial","COX7C","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16066","ANPRA_HUMAN","Atrial natriuretic peptide receptor 1","NPR1 ANPRA","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16109","LYAM3_HUMAN","P-selectin","SELP GMRP GRMP","TM","BAT\GAT\Liver\Lung\MAT\SCAT\Skin\Spleen\Stomach"
"P16144","ITB4_HUMAN","Integrin beta-4","ITGB4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16150","LEUK_HUMAN","Leukosialin","SPN CD43","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16234","PGFRA_HUMAN","Platelet-derived growth factor receptor alpha","PDGFRA PDGFR2 RHEPDGFRA","TM(RTK)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16260","GDC_HUMAN","Solute carrier family 25 member 16","SLC25A16 GDA","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16284","PECA1_HUMAN","Platelet endothelial cell adhesion molecule","PECAM1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16389","KCNA2_HUMAN","Potassium voltage-gated channel subfamily A member 2 channel HuKIV","KCNA2","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"P16422","EPCAM_HUMAN","Epithelial cell adhesion molecule","EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1","TM","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16435","NCPR_HUMAN","NADPH--cytochrome P450 reductase","POR CYPOR","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16471","PRLR_HUMAN","Prolactin receptor","PRLR","TM","Adrenal\GAT\Liver\Lung\MAT\Prostate\Skin\Small\Testis\Urinary"
"P16473","TSHR_HUMAN","Thyrotropin receptor","TSHR LGR3","TM(GPCR)","Adrenal\BAT\Eye\GAT\MAT\SCAT"
"P16615","AT2A2_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2-ATPase 2 ATPase","ATP2A2 ATP2B","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16671","CD36_HUMAN","Platelet glycoprotein 4","CD36 GP3B GP4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P16871","IL7RA_HUMAN","Interleukin-7 receptor subunit alpha","IL7R","TM","Lung\MAT\SCAT\Skin\Spleen\Thymus"
"P17152","TMM11_HUMAN","Transmembrane protein 11, mitochondrial","TMEM11 C17orf35 PM1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P17301","ITA2_HUMAN","Integrin alpha-2","ITGA2 CD49B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P17342","ANPRC_HUMAN","Atrial natriuretic peptide receptor 3","NPR3 ANPRC C5orf23 NPRC","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P17658","KCNA6_HUMAN","Potassium voltage-gated channel subfamily A member 6","KCNA6","TM(IC)","Brain\Eye\Stomach"
"P17813","EGLN_HUMAN","Endoglin","ENG END","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P18089","ADA2B_HUMAN","Alpha-2B adrenergic receptor","ADRA2B ADRA2L1 ADRA2RL1","TM(GPCR)","Brain\Kidney\Liver\Small\Spleen"
"P18433","PTPRA_HUMAN","Receptor-type tyrosine-protein phosphatase alpha","PTPRA PTPA PTPRL2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"P18507","GBRG2_HUMAN","Gamma-aminobutyric acid receptor subunit gamma-2 receptor subunit gamma-2","GABRG2","TM(IC)","Brain\Eye\Lung"
"P18564","ITB6_HUMAN","Integrin beta-6","ITGB6","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
